2018-11-23T11:36:33.214416	+023.9C
2018-11-23T11:36:43.100317	+023.9C
2018-11-23T11:36:52.986249	+023.9C
2018-11-23T11:37:02.873493	+023.9C
2018-11-23T11:37:12.759458	+023.9C
2018-11-23T11:37:22.645465	+023.9C
2018-11-23T11:37:32.531620	+023.9C
2018-11-23T11:37:42.417319	+023.9C
2018-11-23T11:37:52.302694	+024.0C
2018-11-23T11:38:02.188447	+024.0C
2018-11-23T11:38:12.074493	+024.0C
2018-11-23T11:38:21.959438	+024.0C
2018-11-23T11:38:31.844484	+024.0C
2018-11-23T11:38:41.730455	+024.0C
2018-11-23T11:38:51.616440	+023.9C
2018-11-23T11:39:01.502301	+023.9C
2018-11-23T11:39:11.388441	+023.9C
2018-11-23T11:39:21.274482	+023.9C
2018-11-23T11:39:31.160544	+023.9C
2018-11-23T11:39:41.045438	+023.9C
2018-11-23T11:39:50.931458	+023.9C
2018-11-23T11:40:00.817453	+024.0C
2018-11-23T11:40:10.703419	+023.9C
2018-11-23T11:40:20.588637	+024.0C
2018-11-23T11:40:30.474472	+024.0C
2018-11-23T11:40:40.360546	+024.0C
2018-11-23T11:40:50.245494	+024.0C
2018-11-23T11:41:00.130462	+024.1C
2018-11-23T11:41:10.016488	+024.0C
2018-11-23T11:41:19.901430	+024.0C
2018-11-23T11:41:29.786697	+024.0C
2018-11-23T11:41:39.672614	+024.0C
2018-11-23T11:41:49.559414	+024.0C
2018-11-23T11:41:59.445295	+024.0C
2018-11-23T11:42:09.330651	+024.0C
2018-11-23T11:42:19.217522	+024.1C
2018-11-23T11:42:29.102572	+024.0C
2018-11-23T11:42:38.988230	+024.1C
2018-11-23T11:42:48.874450	+024.0C
2018-11-23T11:42:58.759584	+024.1C
2018-11-23T11:43:08.645348	+024.1C
2018-11-23T11:43:18.531434	+024.0C
2018-11-23T11:43:28.416352	+024.1C
2018-11-23T11:43:38.302301	+024.0C
2018-11-23T11:43:48.188251	+024.1C
2018-11-23T11:43:58.074490	+024.1C
